,label,bertscore_precision,bertscore_recall,bertscore_f1,bleu,sts_score,sbertcosine
0,1,0.4127150774002075,0.6485744714736938,0.5288717150688171,0.0,0.9160622596740723,0.8058443
1,1,0.5325210094451904,0.5871888399124146,0.5604351758956909,0.23605722704787005,0.650298023223877,0.7766152
2,1,0.5746334195137024,0.8454747796058655,0.7072866559028625,0.5716469429630063,0.962552261352539,0.97938824
3,0,0.7887258529663086,0.6896238327026367,0.7391648292541504,0.42579726439109694,0.8472918510437012,0.9232149
4,0,0.4453427791595459,0.47924381494522095,0.46311435103416443,0.2141221819863957,0.4732454776763916,0.5797775
5,1,0.7977980971336365,0.7357000112533569,0.7669579386711121,0.38427317247771015,1.00338716506958,0.93268406
6,0,0.4765041768550873,0.6431352496147156,0.559276819229126,0.0,0.5923629760742187,0.44984525
7,1,0.44118940830230713,0.39621904492378235,0.41955357789993286,0.19803162353826262,0.7033143043518066,0.76231587
8,1,0.7115647196769714,0.4534120261669159,0.5801465511322021,0.2779735989518471,0.7888144016265869,0.7787802
9,0,0.28984108567237854,0.35815900564193726,0.3248782753944397,0.0,0.2012091875076294,0.43748784
10,1,0.3409450650215149,0.4564650058746338,0.3990599513053894,0.0,0.7265205383300781,0.6987291
11,1,0.7459399104118347,0.6859033703804016,0.7162230610847473,0.0,0.8778247833251953,0.80200243
12,1,0.8913137912750244,0.8025719523429871,0.8468499183654785,0.3610023414596031,0.977940845489502,0.9334682
13,0,0.5631783604621887,0.6393090486526489,0.6016315221786499,0.0,0.4978536605834961,0.8245039
14,1,0.8450353145599365,0.8648489713668823,0.855161190032959,0.5005987963443687,0.9221100807189941,0.9731477
15,0,0.4761154055595398,0.4767765700817108,0.4772966206073761,0.16943571815930883,0.6863407135009766,0.7023343
16,1,0.8472610712051392,0.7314442992210388,0.7891079187393188,0.5073387833498174,0.8812039375305176,0.73333466
17,1,0.8356326222419739,0.6765275597572327,0.7553629279136658,0.6081152344671197,0.8478150367736816,0.88830125
18,1,0.8310381770133972,0.9094302654266357,0.8701822757720947,0.5983923194950723,1.0377158164978026,0.98173153
19,1,0.8151505589485168,0.699468731880188,0.7571150064468384,0.7941054938007994,0.7689753532409668,0.8678573
20,1,0.7350646257400513,0.5094387531280518,0.620574414730072,0.42339957183931753,0.7181803703308105,0.5735784
21,1,0.6423441767692566,0.40118107199668884,0.5198742151260376,0.5691760321348641,0.7431770324707031,0.7710063
22,1,0.6716565489768982,0.6062549352645874,0.6393495798110962,0.4028998029112093,0.5428482055664062,0.656227
23,1,0.8175033330917358,0.7864091992378235,0.8022356629371643,0.6289505421507601,0.8679651260375977,0.8525449
24,0,0.4098426401615143,0.3528687059879303,0.38220706582069397,0.0,0.45395851135253906,0.75266033
25,1,0.647517740726471,0.5322656631469727,0.5899556279182434,0.3630677387318911,0.9509412765502929,0.890865
26,1,0.638282060623169,0.6654980778694153,0.6524229645729065,0.22004136568723662,0.9797856330871582,0.7731011
27,1,0.8685624599456787,0.7280580997467041,0.79777592420578,0.5216291959667407,0.9389111518859863,0.94960344
28,1,0.6783894300460815,0.9181050062179565,0.7960779070854187,0.537284965911771,0.8100295066833496,0.8689095
29,1,0.24177895486354828,0.2904352843761444,0.2671867907047272,0.0,0.8084626197814941,0.76075983
30,1,0.6384872794151306,0.6463800072669983,0.6430118680000305,0.23512841092465275,1.0155451774597168,0.919394
31,0,0.9258906245231628,0.7167729139328003,0.8197217583656311,0.5863498226024187,0.7831574440002441,0.8321147
32,0,0.6769754886627197,0.5625497698783875,0.6197900772094727,0.5290774528404566,0.7352057456970215,0.60897994
33,0,0.20786432921886444,0.42973053455352783,0.317570298910141,0.15875722180934987,0.5303993225097656,0.7484133
34,1,0.9096843600273132,0.7830728888511658,0.8459334373474121,0.579994141192816,0.7987551689147949,0.8241044
35,0,0.9237327575683594,0.7656208276748657,0.8438466191291809,0.47491362571030976,0.7594639778137207,0.95118666
36,1,0.872336208820343,0.7464532256126404,0.8090135455131531,0.5032295349332697,0.8681799888610839,0.9072078
37,1,0.7177486419677734,0.7912937998771667,0.7546841502189636,0.6186099808728224,0.9794625282287598,0.9792212
38,0,0.4066472351551056,0.5815879106521606,0.49353644251823425,0.0,0.6630606174468994,0.7545985
39,1,0.6273611187934875,0.70586758852005,0.6668828129768372,0.4721348165832944,0.8181206703186035,0.788576
40,1,0.48771271109580994,0.5205418467521667,0.5048846006393433,0.0,0.942408561706543,0.86317295
41,1,0.7365630865097046,0.817328929901123,0.7770248651504517,0.49263163390229675,0.6844740867614746,0.70718825
42,0,0.5527569055557251,0.38037997484207153,0.4660586714744568,0.0,0.6085209846496582,0.5061327
43,1,0.8957593441009521,0.7356625199317932,0.8148947358131409,0.561278904044013,1.0314954757690429,0.98082477
44,1,0.5105369687080383,0.49734920263290405,0.5047404766082764,0.0,0.8221418380737304,0.80058205
45,0,0.2895609140396118,0.39684584736824036,0.3437286615371704,0.311033032294136,0.6599089622497558,0.6093245
46,0,0.7094613313674927,0.644866406917572,0.6775013208389282,0.36808248277848293,0.9265257835388183,0.78599566
47,0,0.49384671449661255,0.6071385145187378,0.5506409406661987,0.35779249194596663,0.383182168006897,0.691545
48,1,0.8734685778617859,0.7689939141273499,0.8210464715957642,0.7296577423137609,0.8814261436462403,0.8974327
49,1,0.6472775936126709,0.5804644823074341,0.6142962574958801,0.0,0.8213643074035645,0.75611645
50,1,0.596776008605957,0.48703598976135254,0.5420997142791748,0.0,1.0061404228210449,0.8233252
51,1,0.7190465331077576,0.7443923950195312,0.7321277260780334,0.38630936190395015,0.8732151985168457,0.9307418
52,1,0.5331008434295654,0.6193897724151611,0.5765979886054993,0.25381494737245897,0.8213025093078613,0.8242775
53,1,0.5413403511047363,0.45554250478744507,0.49891650676727295,0.24601372576927547,0.7297236442565918,0.648031
54,0,0.4789842963218689,0.6037936806678772,0.5414265990257263,0.21314568971111159,0.5907230854034424,0.42689928
55,1,0.6597425937652588,0.6854003667831421,0.6730744242668152,0.3924259174695316,0.8122963905334473,0.78611976
56,1,0.3154694736003876,0.5402909517288208,0.4264621436595917,0.12991916506579942,0.8137895584106445,0.61664236
57,1,0.9054074883460999,0.8493884205818176,0.8774612545967102,0.6764438324537124,1.0290537834167481,0.97552574
58,0,0.25435295701026917,0.6005076169967651,0.42279067635536194,0.4243285041694932,0.6976459980010986,0.8084737
59,1,0.7389381527900696,0.7689366340637207,0.7542981505393982,0.5785905561845899,0.9813071250915527,0.85126555
60,1,0.6906012296676636,0.5814089775085449,0.6360602378845215,0.31083285252349224,0.9785929679870605,0.84907293
61,1,0.7828809022903442,0.8390419483184814,0.8111324906349182,0.6690849531405022,0.9597756385803222,0.928223
62,1,0.7087258696556091,0.815180778503418,0.761845588684082,0.5266403878479265,0.9322979927062989,0.8102664
63,1,0.7903074622154236,0.7530826926231384,0.7720046639442444,0.6177060300111138,0.9053963661193848,0.9152647
64,1,0.6101296544075012,0.717422366142273,0.6638110280036926,0.3070898761263382,0.963599967956543,0.95495915
65,1,0.8577879667282104,0.7896245718002319,0.8237898349761963,0.5968317868064053,0.8049554824829102,0.9136543
66,1,0.6219056248664856,0.33630767464637756,0.47618699073791504,0.0,0.7400445461273193,0.52164763
67,1,0.6342171430587769,0.5258784890174866,0.580196738243103,0.49372436277491116,0.7759460926055908,0.6386746
68,1,0.44208332896232605,0.7226701974868774,0.5794992446899414,0.5461759513396652,0.7278237342834473,0.8879368
69,1,0.7356582283973694,0.6447800993919373,0.6903539299964905,0.5626933387118171,0.8216397285461425,0.8455559
70,0,0.47856900095939636,0.5956325531005859,0.5372299551963806,0.37443870520736583,0.775101613998413,0.57541364
71,1,0.626169741153717,0.774540364742279,0.6998698711395264,0.622653708544652,0.7445894718170166,0.70039
72,1,0.5336675047874451,0.6913882493972778,0.6120413541793823,0.28598266033267306,0.5469736576080322,0.930454
73,0,0.28775110840797424,0.4151606261730194,0.3517457842826843,0.29571833526772145,0.5776797294616699,0.60725534
74,1,0.7230615615844727,0.8480364680290222,0.7852181792259216,0.5810474715550904,0.935554027557373,0.91441655
75,1,0.38209208846092224,0.46429577469825745,0.4238176643848419,0.0,0.33122146129608154,0.43426138
76,1,0.6710781455039978,0.7627032995223999,0.7169816493988037,0.4656334880525637,0.9525996208190918,0.82604885
77,1,0.4779605567455292,0.5262399911880493,0.502803385257721,0.4354294657746997,0.9822179794311523,0.889844
78,0,0.7272785902023315,0.3070242702960968,0.5098419189453125,0.3289690582699341,0.6671189308166504,0.7416421
